goods_nomenclature_sid,goods_nomenclature_item_id,productline_suffix,description
39809,"4202000000","80","Trunks suitcases vanity cases executive-cases briefcases school satchels spectacle cases binocular cases camera cases musical instrument cases gun cases holsters and similar containers; travelling-bags insulated food or beverages bags toilet bags rucksacks handbags shopping-bags wallets purses map-cases cigarette-cases tobacco-pouches tool bags sports bags bottle-cases jewellery boxes powder boxes cutlery cases and similar containers of leather or of composition leather of sheeting of plastics of textile materials of vulcanised fibre or of paperboard or wholly or mainly covered with such materials or with paper"
39810,"4202110000","10","Trunks suitcases vanity cases executive-cases briefcases school satchels and similar containers"
39811,"4202110000","80","With outer surface of leather or of composition leather"
39812,"4202111000","80","Executive-cases briefcases school satchels and similar containers"
39813,"4202111010","80","Hand-made"
39814,"4202111090","80","Other"
39815,"4202119000","80","Other"
39816,"4202119010","80","Hand-made"
39817,"4202119090","80","Other"
39818,"4202120000","80","With outer surface of plastics or of textile materials"
39819,"4202121100","10","Of sheeting of plastics"
39820,"4202121100","80","Executive-cases briefcases school satchels and similar containers"
39821,"4202121900","80","Other"
39822,"4202125000","80","Of moulded plastic material"
39823,"4202129100","10","Of other materials including vulcanised fibre"
39824,"4202129100","80","Executive-cases briefcases school satchels and similar containers"
39825,"4202129110","80","Hand-made"
39826,"4202129190","80","Other"
39827,"4202129900","80","Other"
39828,"4202129910","80","Hand-made"
39829,"4202129990","80","Other"
39830,"4202190000","80","Other"
39831,"4202191000","80","Of aluminium"
39832,"4202199000","80","Of other materials"
39833,"4202199010","80","Hand-made"
39834,"4202199090","80","Other"
39842,"4202210000","10","Handbags whether or not with shoulder strap including those without handle"
39843,"4202210000","80","With outer surface of leather or of composition leather"
39844,"4202210010","80","Hand-made"
39845,"4202210090","80","Other"
39846,"4202220000","80","With outer surface of sheeting of plastics or of textile materials"
39847,"4202221000","80","Of sheeting of plastics"
39848,"4202229000","80","Of textile materials"
39849,"4202229010","80","Hand-made"
39850,"4202229090","80","Other"
39851,"4202290000","80","Other"
39852,"4202310000","10","Articles of a kind normally carried in the pocket or in the handbag"
39853,"4202310000","80","With outer surface of leather or of composition leather"
39854,"4202310010","80","Hand-made"
39855,"4202310090","80","Other"
39856,"4202320000","80","With outer surface of sheeting of plastics or of textile materials"
39857,"4202321000","80","Of sheeting of plastics"
39858,"4202329000","80","Of textile materials"
39859,"4202329010","80","Hand-made"
39860,"4202329090","80","Other"
39861,"4202390000","80","Other"
39862,"4202390010","80","Hand-made"
39863,"4202390090","80","Other"
39864,"4202910000","10","Other"
39865,"4202910000","80","With outer surface of leather or of composition leather"
39866,"4202911000","80","Travelling-bags toilet bags rucksacks and sports bags"
39867,"4202911010","80","Hand-made"
39868,"4202911090","80","Other"
39872,"4202918000","80","Other"
39873,"4202918010","80","Hand-made"
39874,"4202918090","80","Other"
39878,"4202920000","80","With outer surface of sheeting of plastics or of textile materials"
39879,"4202921100","10","Of sheeting of plastics"
39880,"4202921100","80","Travelling-bags toilet bags rucksacks and sports bags"
56200,"4202921500","80","Musical instrument cases"
56183,"4202921900","80","Other"
39884,"4202929100","10","Of textile materials"
39885,"4202929100","80","Travelling-bags toilet bags rucksacks and sports bags"
39886,"4202929110","80","Hand-made"
39887,"4202929190","80","Other"
39891,"4202929800","80","Other"
39892,"4202929810","80","Hand-made"
39893,"4202929890","80","Other"
39897,"4202990000","80","Other"
39898,"4202990010","80","Musical instrument cases hand-made"
39899,"4202990090","80","Other"
39904,"4203000000","80","Articles of apparel and clothing accessories of leather or of composition leather"
39905,"4203100000","80","Articles of apparel"
39906,"4203210000","10","Gloves mittens and mitts"
39907,"4203210000","80","Specially designed for use in sports"
39908,"4203290000","80","Other"
39909,"4203291000","80","Protective for all trades"
93009,"4203299000","80","Other"
39913,"4203300000","80","Belts and bandoliers"
39914,"4203300010","80","Hand-made"
39915,"4203300090","80","Other"
39916,"4203400000","80","Other clothing accessories"
39917,"4203400010","80","Hand-made"
39918,"4203400090","80","Other"
39922,"4205000000","80","Other articles of leather or of composition leather"
86027,"4205001100","10","Of a kind used in machinery or mechanical appliances or for other technical uses"
86028,"4205001100","80","Conveyor or transmission belts or belting"
86029,"4205001900","80","Other"
86030,"4205009000","80","Other"
39923,"4206000000","80","Articles of gut (other than silkworm gut) of goldbeater's skin of bladders or of tendons"
39926,"4300000000","80","FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF"
39927,"4301000000","80","Raw furskins (including heads tails paws and other pieces or cuttings suitable for furriers' use) other than raw hides and skins of heading 4101 4102 or 4103"
39928,"4301100000","80","Of mink whole with or without head tail or paws"
39930,"4301300000","80","Of lamb the following: Astrakhan Broadtail Caracul Persian and similar lamb Indian Chinese Mongolian or Tibetan lamb whole with or without head tail or paws"
39933,"4301600000","80","Of fox whole with or without head tail or paws"
39937,"4301800000","80","Other furskins whole with or without head tail or paws"
39942,"4301900000","80","Heads tails paws and other pieces or cuttings suitable for furriers' use"
39943,"4302000000","80","Tanned or dressed furskins (including heads tails paws and other pieces or cuttings) unassembled or assembled (without the addition of other materials) other than those of heading 4303"
39944,"4302110000","10","Whole skins with or without head tail or paws not assembled"
39945,"4302110000","80","Of mink"
39948,"4302190000","80","Other"
95698,"4302191500","80","Of beaver muskrat or fox"
73691,"4302193500","80","Of rabbit or hare"
39952,"4302194100","10","Of seal"
39953,"4302194100","80","Of whitecoat pups of harp seal or of pups of hooded seal (blue-backs)"
39954,"4302194900","80","Other"
86075,"4302197500","10","Of sheep or lambs"
86074,"4302197500","80","Of lamb the following: Astrakhan Broadtail Caracul Persian and similar lamb Indian Chinese Mongolian or Tibetan lamb"
39958,"4302198000","80","Other"
95699,"4302199900","80","Other"
39961,"4302200000","80","Heads tails paws and other pieces or cuttings not assembled"
39962,"4302300000","80","Whole skins and pieces or cuttings thereof assembled"
39963,"4302301000","80","'Dropped' furskins"
95701,"4302302500","10","Other"
39966,"4302302500","80","Of rabbit or hare"
39971,"4302305100","10","Of seal"
39972,"4302305100","80","Of whitecoat pups of harp seal or of pups of hooded seal (blue-backs)"
39973,"4302305500","80","Other"
95700,"4302309900","80","Other"
39978,"4303000000","80","Articles of apparel clothing accessories and other articles of furskin"
39979,"4303100000","80","Articles of apparel and clothing accessories"
39980,"4303101000","80","Of furskins of whitecoat pups of harp seal or of pups of hooded seal (blue-backs)"
39983,"4303109000","80","Other"
39986,"4303900000","80","Other"
39987,"4304000000","80","Artificial fur and articles thereof"
39988,"4400000000","80","WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL"
39989,"4401000000","80","Fuel wood in logs in billets in twigs in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap whether or not agglomerated in logs briquettes pellets or similar forms"
102166,"4401110000","10","Fuel wood in logs in billets in twigs in faggots or in similar forms"
102167,"4401110000","80","Coniferous"
102168,"4401120000","80","Non-coniferous"
39991,"4401210000","10","Wood in chips or particles"
39992,"4401210000","80","Coniferous"
39993,"4401220000","80","Non-coniferous"
105717,"4401221000","80","Of eucalyptus (Eucalyptus spp.)"
105716,"4401229000","80","Other"
95866,"4401310000","10","Sawdust and wood waste and scrap agglomerated in logs briquettes pellets or similar forms"
95623,"4401310000","80","Wood pellets"
95624,"4401390000","80","Other"
102170,"4401400000","80","Sawdust and wood waste and scrap not agglomerated"
102171,"4401401000","80","Sawdust"
102172,"4401409000","80","Other"
39997,"4402000000","80","Wood charcoal (including shell or nut charcoal) whether or not agglomerated"
86077,"4402100000","80","Of bamboo"
96682,"4402100010","80","Exported from Somalia"
96685,"4402100090","80","Other"
86078,"4402900000","80","Other"
96683,"4402900010","80","Exported from Somalia"
96684,"4402900090","80","Other"
39998,"4403000000","80","Wood in the rough whether or not stripped of bark or sapwood or roughly squared"
102174,"4403110000","10","Treated with paint stains creosote or other preservatives"
102175,"4403110000","80","Coniferous"
102176,"4403120000","80","Non-coniferous"
102173,"4403210000","10","Other coniferous"
102177,"4403210000","80","Of pine (Pinus spp.) of which any cross-sectional dimension is 15 cm or more"
102178,"4403211000","80","Sawlogs"
102180,"4403211010","80","Exported from the Russian Federation in accordance with Commission regulation No 498/2012"
102181,"4403211090","80","Other"
102179,"4403219000","80","Other"
102182,"4403219010","80","Exported from the Russian Federation in accordance with Commission regulation No 498/2012"
102183,"4403219090","80","Other"
102184,"4403220000","80","Of pine (Pinus spp.) other"
102185,"4403220010","80","Exported from the Russian Federation in accordance with Commission regulation No 498/2012"
102186,"4403220090","80","Other"
102187,"4403230000","80","Of fir (Abies spp.) and spruce (Picea spp.) of which any cross-sectional dimension is 15 cm or more"
102188,"4403231000","80","Sawlogs"
102190,"4403231010","80","Exported from the Russian Federation in accordance with Commission regulation No 498/2012"
102191,"4403231090","80","Other"
102189,"4403239000","80","Other"
102192,"4403239010","80","Exported from the Russian Federation in accordance with Commission regulation No 498/2012"
102193,"4403239090","80","Other"
102194,"4403240000","80","Of fir (Abies spp.) and spruce (Picea spp.) other"
102789,"4403240010","80","Exported from the Russian Federation in accordance with Commission regulation No 498/2012"
102790,"4403240090","80","Other"
102195,"4403250000","80","Other of which any cross-sectional dimension is 15 cm or more"
102196,"4403251000","80","Sawlogs"
102197,"4403259000","80","Other"
102199,"4403260000","80","Other"
59738,"4403410000","10","Other of tropical wood"
59739,"4403410000","80","Dark red meranti light red meranti and meranti bakau"
59740,"4403490000","80","Other"
59741,"4403491000","80","Acajou d'Afrique iroko and sapelli"
90286,"4403493500","80","Okoumé and sipo"
102201,"4403498500","80","Other"
40018,"4403910000","10","Other"
40019,"4403910000","80","Of oak (Quercus spp.)"
